Date,Time,Artist(s),Instruments/Details,Venue
2025-12-27,13:00,Heramba & Hemantha,"Flute Duet; Sai Giridhar (Mridangam); Samyuktha Sreeram (Ghatam)",Krishna Gana Sabha
2025-12-27,16:00,Trichur Brothers Srikrishna Mohan & Ramkumar Mohan,"Vocal Duet; Idapalli Ajithkumar (Violin); Sumesh S Narayanan (Mridangam); G. Guruprasanna (Kanjira)",Krishna Gana Sabha
2025-12-27,19:00,Shobana,Bharatanatyam,Krishna Gana Sabha
2025-12-28,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-28,10:00,Vishaka Hari & Party,Musical Discourse on Dashavidha Ramayanam (Ramayana in 10 Languages),Krishna Gana Sabha
2025-12-28,19:00,Malavika Sarukkai,Bharatanatyam,Krishna Gana Sabha
2025-12-29,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-29,09:30,S. Srivathsan,"Vocals; C.S. Chinmayi (Violin); R. Akshay Ram (Mridangam)",Krishna Gana Sabha
2025-12-29,10:35,Archana & Aarathi,"Vocal Duet; Alankode VS Gokul (Violin); Akshay Ananthapadmanabhan (Mridangam); Nerkunam Dr. S. Sankar (Kanjira)",Krishna Gana Sabha
2025-12-29,11:00,Ranjani & Gayatri,Vocal Duet; Rajeev Mukundan (Violin),Krishna Gana Sabha
2025-12-29,11:55,Anitha Guha's Bharathanjali,Mahadevam Mahasenam,Krishna Gana Sabha
2025-12-29,12:35,Swarathmika Srikanth,"Vocals; Shraddha Ravindran (Violin); Sarvesh Karthik (Mridangam)",Krishna Gana Sabha
2025-12-29,13:00,Aishwarya Shankar,"Vocals; M. Vijay (Violin); B.S. Prashanth (Mridangam); S. Sunil Kumar (Kanjira)",Krishna Gana Sabha
2025-12-29,14:15,K. Bharat Sundar,"Vocals; Sayee Rakshith (Violin); Delhi Sairam (Mridangam); H. Prasanna (Ghatam)",Krishna Gana Sabha
2025-12-29,16:00,Sriranjani Tapasya Santhanagopalan,"Vocals; Rajeev Mukundan (Violin); K. Sai Giridhar (Mridangam); S. Sunil Kumar (Kanjira)",Krishna Gana Sabha
2025-12-30,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-30,08:00,Shashank Subramanyam & Jayateerth Mevundi,"Flute & Hindustani Vocal Jugalbandhi; Patri Satishkumar (Mridangam); Rajendra Nakod (Tabla); Narendra Nayak (Harmonium)",Krishna Gana Sabha
2025-12-30,16:00,Vignesh Ishwar N & Ashwath Narayanan,"Vocal Duet; R.K. Shriramkumar (Violin); Dr. Trichy Sankaran (Mridangam); G. Chandrasekara Sharma (Ghatam)",Krishna Gana Sabha
2025-12-30,19:00,Bijaiyini Satpathy,Odissi,Krishna Gana Sabha
2025-12-31,07:00,Brahmashri Vittaldas Jayakrishna Dikshithar Maharaj,Harinamasankeerthanam - Dhivya Namam & Deepa Pradakshanam,Krishna Gana Sabha
2025-12-31,11:00,Vishwas Hari & Hariprasad Subramanian,"Mandolin & Flute; Kaushik Sridhar (Mridangam); Shamita Gowda (Ghatam)",Krishna Gana Sabha
2025-12-31,13:00,Aditya Madhavan,"Vocals; B. Ananthakrishnan (Violin); Kumbakonam Swaminathan (Mridangam); V. Sai Subramaniam (Morsing)",Krishna Gana Sabha
2025-12-31,16:00,Charumathi Raghuraman & J.B. Sruthi Sagar & Ramana Balachandran & Anantha R Krishnan,Violin-Flute-Veena-Mridangam Quartet Concert,Krishna Gana Sabha
2025-12-31,19:00,Sharmila Biswas,Odissi,Krishna Gana Sabha
2025-12-31,22:00,Brahmashri Vittaldas Jayakrishna Dikshithar Maharaj,Harinamasankeerthanam on the eve of New Year 2026,Krishna Gana Sabha
2026-01-01,09:30,Vittaldas Jayakrishna Dikshithar Maharaj,Radha Kalyanam (Harinamasankeerthanam),Krishna Gana Sabha
2026-01-01,16:00,Sangeetha Bhakthi Samarpanam,"Vittal Rangan (Violin); Neyveli Narayanan (Mridangam); V. Suresh (Ghatam)",Krishna Gana Sabha
2026-01-01,19:00,Priyadarsini Govind,Bharatanatyam,Krishna Gana Sabha
2026-01-02,16:00,Akkarai Sisters Subhalakshmi & Sornalatha,"Violin Duet; Thanjavur T.R. Govindarajan (Thavil); Arjun Kumar (Mridangam)",Krishna Gana Sabha
2026-01-02,19:00,Priya Murle,Bharatanatyam,Krishna Gana Sabha
2026-01-03,16:00,Dr. B. Vijayagopal & Mylai Karthikeyan,"Flute & Nagaswaram Duet; B. Harikumar (Mridangam); Trichy Krishnaswamy (Ghatam)",Krishna Gana Sabha
2026-01-03,19:00,Jaikishore Mosalikanti / Shivamohanam,Triyambam (Kuchipudi thematic Presentation),Krishna Gana Sabha
2025-12-28,09:30,Nirupama & Rajendra,"Inauguration of 43rd Natya Kala Conference - NAVONMESHA (Quest for Creative Excellence)",Krishna Gana Sabha
2025-12-28,10:35,Rudrakshya Foundation,"PURUSHAANG: Odissi Beyond Boundaries",Krishna Gana Sabha
2025-12-28,11:00,Chandraprakash Dwivedi,"UJJEEVAN: Recreating Classical Themes for popular Media",Krishna Gana Sabha
2025-12-28,11:55,Tanusree Shankar & Dancers,"NAVODAYA: Pioneering Novelty - Uday Shankar's Unique style",Krishna Gana Sabha
2025-12-28,12:35,"Panelists: Divya Nayar; Renjith Vijna; Dr. Himanshu Srivastava","Panel: ANVESHANA (Creative Freedom in interpreting the classics); Moderator: Dr. Arathi VB",Krishna Gana Sabha
2025-12-28,14:15,Prof. Deepak Paramashivan with Anil V Iyer,"Workshop: RANGADHARMI - Workshop on Rangageethe & Loka Dharmi Abhinaya",Sri Ramakrishna Mission Sarada Vidyalaya School
2025-12-29,08:00,Tanusree Shankar,"Workshop: NAVODAYA - A workshop on UDAY SHANKAR STYLE",Sri Ramakrishna Mission Sarada Vidyalaya School
2025-12-29,09:30,"Dr. Anuradha Tadakamalla; G. Narendra; Dr. Neena Prasad; Vineeth Radhakrishna","VRITTIS: The Route to Abhinaya (Kuchipudi; Bharatanatyam; Mohiniattam; Natya)",Krishna Gana Sabha
2025-12-29,11:05,Bickram Ghosh,RHYTHMS AND THE UNIVERSE,Krishna Gana Sabha
2025-12-29,11:55,Sandhya Raman,"AHARYA: Perceptive Costuming",Krishna Gana Sabha
2025-12-29,12:30,"Panelists: Anuradha Vikranth; Swapnokalpa Dasgupta; Akhila Krishnamurthy","Panel: SAHRUDAYA SAMBHASHANAM (Developing Conscious Connoisseurs); Moderator: Supriti",Krishna Gana Sabha
2025-12-29,14:00,Sandhya Raman,"Workshop: AHARYA - A Workshop on Creative Costuming",Sri Ramakrishna Mission Sarada Vidyalaya School
2025-12-30,08:00,Bickram Ghosh,"Workshop: The Aesthetics of Musical Math - workshop on Rhythms",Sri Ramakrishna Mission Sarada Vidyalaya School
2025-12-30,09:30,Dr. C. Rajendran,"SHAASTRA-MOOLAM: The Natyashastric Roots of south Indian Theatrical Traditions",Krishna Gana Sabha
2025-12-30,10:15,Gyan Dev Singh,"RANGA - PRAKAASHA: Lighting as the art of Highlighting",Krishna Gana Sabha
2025-12-30,10:45,Dr. Vasanthalakshmi Narasimhachari,"SHAASTRA & PRAYOGS: A Symbiotic connection",Krishna Gana Sabha
2025-12-30,11:15,"Priya Murle; S. Janaki; Ramya Ramnarayan","PRAYUKTHA: Responding with Responsibility - An ABHAI offering",Krishna Gana Sabha
2025-12-30,11:55,"Panelists: Mayuri Upadhya; Dr. Methil Devika; Vaibhav Arekar","Panel: TARANA - Expanding the Horizon; Moderator: Aneish Rajan",Krishna Gana Sabha
2025-12-30,12:50,Nirupama & Rajendra,"BHARATHAKAVYAM: An Expression of Gratitude",Krishna Gana Sabha
2025-12-30,13:10,,VALEDICTORY FUNCTION,Krishna Gana Sabha
