Date,Time,Artist(s),Instruments/Details,Venue
2025-12-30,09:00,"Sankari Krishnan","(Vocal) - Vaikom Padma Krishnan (Violin), Nanjil A. R. Arul (Mridangam), Srirangam S. Ravikrishnan (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-30,11:45,"R. P. Shravan","(Vocal) - M. Keshav (Violin), Sanjay Subramanian (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-30,13:30,"Kolkata Padmavathi Saranathan","(Vocal) - Shivkumar Anantharaman (Violin), V. S. Raghavan (Mridangam), Somnath Roy (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-30,16:00,"K. S. Vishnudev","(Vocal) - Parur M. S. Ananthkrishnan (Violin), Sangita Kalanidhi Umayalpuram K. Sivaraman (Mridangam), G. Guruprasanna (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-30,18:45,"Sikkil C. Gurucharan","(Vocal) - V. Sanjeev (Violin), Delhi S. Sairam (Mridangam), H. Prasanna (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-31,09:00,"Suchithra Balasubramanian","(Harikatha) - Karaikal S. Venkatasubramanian (Violin), A. V. Manikantaan (Mridangam), S. Venkatraman (Harmonium)","T.T. Krishnamachari Auditorium"
2025-12-31,11:45,"J. Yoga Kirtana","(Vocal) - P. Akshaya (Violin), Mysore L. Vadiraj (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-31,13:30,"Maharajapuram S. Ganesh Viswanathan","(Vocal) - Vaibhav Ramani (Violin), D. V. Sivaraman (Mridangam), Vellattanjoor Sreejith (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-31,16:00,"Trivandrum Dr. N. J. Nandini","(Vocal) - Apoorva Krishna (Violin), Akshay Anand (Mridangam), K. R. Sivaramakrishna (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-31,19:00,"Vijayakrishna Bhagavathar","(Namasankeerthanam) - Govindapuram Balaji Bhagavathar (Upanyasam)","T.T. Krishnamachari Auditorium"
2026-01-01,08:15,"Mysore M. Nagaraj & Dr. Mysore Manjunath","(Violin Duet) - Sangita Kalanidhi Thiruvaarur Bakthavathsalam (Mridangam), U. N. Giridhar Udupa (Ghatam)","T.T. Krishnamachari Auditorium"
2026-01-01,15:45,"Selaiyur Brothers - P. V. Shanmugham & P. V. Raghuraman","(Nagaswaram) - Achamangalam A. S. Saravanan (Thavil), Pallikaranai P. V. Bharathidasan (Thavil)","T.T. Krishnamachari Auditorium"
2026-01-01,17:00,"SADAS","Presides over the SADAS","T.T. Krishnamachari Auditorium"
2026-01-01,19:00,"Sangita Kalanidhi A. Kanyakumari & L. Ramakrishnan","(Violin Duet) - Patri Satishkumar (Mridangam), N. Amrit (Kanjira)","T.T. Krishnamachari Auditorium"
