Date,Time,Artist(s),Instruments/Details,Venue
2026-01-01,18:30,Gayathri Venkataraghavan - Mysore V. Srikanth - N. Manoj Siva - K.V. Gopalakrishnan,Vocal & Accompaniments,The Mylapore Fine Arts Club
2026-01-02,09:00,Vishwesh Kasi - VSK Raghavan - Naren Pullela,Vocal & Accompaniments,The Mylapore Fine Arts Club
2026-01-02,10:15,Vignesh & Aparna Thyagarajan - Ajeet Sridhar,Violin Duet & Accompaniments,The Mylapore Fine Arts Club
2026-01-02,16:00,Vidya Kalyanaraman - Bombay Madhavan - Praveen Sparsh,Vocal & Accompaniments,The Mylapore Fine Arts Club
2026-01-02,17:45,Smt. Aarthi Narain,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-02,18:30,Kunnakudi M. Balamuralikrishna - Anayampatti G. Venkatasubramaniam - Thiruvaarur Bakthavathsalam - B. Shreesundarkumar,Vocal & Accompaniments,The Mylapore Fine Arts Club
2026-01-02,19:15,Kum. Aananya Magesh,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-03,16:15,Kum. Shweta Srinivasan,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-03,17:45,Kum. Anjani Chebrolu (USA),Bharathanatyam,The Mylapore Fine Arts Club
2026-01-03,19:15,Kum. Rithikaiyer,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-04,16:15,Kum. Rakshita Sivakumar,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-04,17:45,Kum. Dhinushri Sivakumar,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-04,19:15,Kum. Anjali Talluru,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-05,17:45,Kum. Abhinaya V.,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-05,19:15,Kum. Shraddha Sridhar & Kum. Megha Suresh,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-06,17:45,Kum. Nishkala Ranjeev & Kum. Nirantara Ranjeev,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-06,19:15,Students of Guru Vanishree Ravishankar,Guruguho Jayanthi (A small journey with Sri Muthuswamy Dikshitar),The Mylapore Fine Arts Club
2026-01-07,17:45,Ms. Jayasakthi,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-07,19:15,Kum. Sruthy Thampuratty,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-08,17:45,Students of Kalanrithya Arts Academy,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-08,19:15,Students of Lakshana Academy of Fine Arts,Anbe Jeevatharam (Dance),The Mylapore Fine Arts Club
2026-01-09,17:45,Kum. Sankavi Puhazhendi & Kum. Surabi Puhazhendi,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-09,19:15,Kum. Malavika Thiagarajan & Kum. Shivani Senthilkumar,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-10,16:15,Dr. Vinayadhanasekar,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-10,17:45,Kum. R.P. Srinidhi,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-10,19:15,Kum. K. Anuskha,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-11,16:15,Kum. K. Sravishta,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-11,17:45,Students of Dr. Sreelatha Vinod,Bharathanatyam (Antara Centre for Performing Arts),The Mylapore Fine Arts Club
2026-01-11,19:15,Students of Sree Gurukripa Natya Kala Mandir,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-12,17:45,Kum. Chandana Vangala,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-12,19:15,Students of Shree Kavithalaya,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-13,17:45,Kum. Nivedha Harish,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-13,19:15,Kum. Tejaswini Sridhar,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-14,16:15,Kum. Saranya Krishnan,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-14,17:45,Kum. Pravarthika Balaji,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-14,19:15,Dr. Smt. Kanchana Janardhanan & Group,Andal Thirukalyanam (Thematic Presentation) / Thamizhukkum Aram Endru Peyar,The Mylapore Fine Arts Club
2026-01-15,16:15,Kum. Sahana Bharadwaj,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-15,17:45,Amrutha Bharath,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-15,19:15,Smt. Shobha Korambil & Dr. Sheela Unnikrishnan (Choreography),Siva Nava Bhakthi (Dance Drama),The Mylapore Fine Arts Club
2026-01-16,16:15,Kum. Bargavi Kannan,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-16,17:45,Sri. M. Sumodh,Bharathanatyam,The Mylapore Fine Arts Club
2026-01-16,19:15,Dancers of Sri Devi Nrithyalaya,Unnikrishnan (Dance Drama),The Mylapore Fine Arts Club
