Date,Time,Artist(s),Instruments/Details,Venue
2026-01-21,18:15,Dvijavanthi Bharath,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-21,19:30,Roja Kannan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-22,17:00,M.Gayathri,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-22,18:15,Vidyalakshmi Vidyanath,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-22,19:30,Naatya Padhmam Srekala Bharath,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-23,17:00,Lalitha Narasimhan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-23,18:15,Neha Sathanapalli,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-23,19:30,Dr.S.Ramaratnam & Gayatri Ramaratnam,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-24,17:00,S Sanjna,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-24,18:15,"Ragini Iyer, Rakshita Raghunathan",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-24,19:30,Shruthi Shoby,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-25,17:00,N.Krithika & Madhumitaa Prabhakaran,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-25,18:15,Amrutha Soundarya T M,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-25,19:30,Dr Himaja Athul Kumar,,TAG DAKSHINAMURTHY HALL MYLAPORE
